24.6651,-82.9903,,,,"24.6651,-82.9903,#000000"
24.68483,-83.03263,,,,"24.68483,-83.03263,#000000"
24.68811,-82.99322,,,,"24.68811,-82.99322,#000000"
24.68117,-83.06544,,,,"24.68117,-83.06544,#000000"
24.68117,-83.06533,,,,"24.68117,-83.06533,#000000"
24.57858,-82.91853,,,,"24.57858,-82.91853,#000000"
24.6247,-82.96312,,,,"24.6247,-82.96312,#000000"
24.65148,-82.78608,,,,"24.65148,-82.78608,#000000"
24.57336,-82.91104,,,,"24.57336,-82.91104,#000000"
24.59478,-82.87792,,,,"24.59478,-82.87792,#000000"
24.59467,-82.87807,,,,"24.59467,-82.87807,#000000"
24.66048,-82.78798,,,,"24.66048,-82.78798,#000000"
24.5874,-82.8992,,,,"24.5874,-82.8992,#000000"
24.58493,-82.97284,,,,"24.58493,-82.97284,#000000"
24.63736,-82.90124,,,,"24.63736,-82.90124,#000000"
24.69088,-82.88586,,,,"24.69088,-82.88586,#000000"
24.64051,-82.89822,,,,"24.64051,-82.89822,#000000"
24.63445,-82.96125,,,,"24.63445,-82.96125,#000000"
24.6376,-82.95759,,,,"24.6376,-82.95759,#000000"
24.6673,-82.87282,,,,"24.6673,-82.87282,#000000"
24.69699,-82.86404,,,,"24.69699,-82.86404,#000000"
24.61436,-82.94452,,,,"24.61436,-82.94452,#000000"
24.65043,-82.95653,,,,"24.65043,-82.95653,#000000"
24.60205,-82.91073,,,,"24.60205,-82.91073,#000000"
24.63517,-83.10196,,,,"24.63517,-83.10196,#000000"
24.64033,-83.10311,,,,"24.64033,-83.10311,#000000"
24.6455,-83.07799,,,,"24.6455,-83.07799,#000000"
24.61334,-83.05657,,,,"24.61334,-83.05657,#000000"
24.59583,-83.04256,,,,"24.59583,-83.04256,#000000"
24.68239,-83.01199,,,,"24.68239,-83.01199,#000000"
24.65786,-83.07532,,,,"24.65786,-83.07532,#000000"
24.72132,-82.98349,,,,"24.72132,-82.98349,#000000"
24.68603,-83.01354,,,,"24.68603,-83.01354,#000000"
24.70028,-83.00645,,,,"24.70028,-83.00645,#000000"
24.64327,-82.84395,,,,"24.64327,-82.84395,#000000"
24.64157,-82.84451,,,,"24.64157,-82.84451,#000000"
24.62889,-82.85831,,,,"24.62889,-82.85831,#000000"
24.71135,-82.88369,,,,"24.71135,-82.88369,#000000"
24.68403,-82.90618,,,,"24.68403,-82.90618,#000000"
24.62232,-83.06002,,,,"24.62232,-83.06002,#000000"
24.6783,-83.06271,,,,"24.6783,-83.06271,#000000"
24.57494,-82.94838,,,,"24.57494,-82.94838,#000000"
24.59484,-82.94127,,,,"24.59484,-82.94127,#000000"
24.59479,-82.94137,,,,"24.59479,-82.94137,#000000"
24.69093,-82.77027,,,,"24.69093,-82.77027,#000000"
24.57239,-82.9466,,,,"24.57239,-82.9466,#000000"
24.58263,-82.91177,,,,"24.58263,-82.91177,#000000"
24.58009,-82.92488,,,,"24.58009,-82.92488,#000000"
24.58394,-82.90295,,,,"24.58394,-82.90295,#000000"
24.58669,-82.91685,,,,"24.58669,-82.91685,#000000"
24.59122,-82.87611,,,,"24.59122,-82.87611,#000000"
24.72254,-82.78513,,,,"24.72254,-82.78513,#000000"
24.72246,-82.79674,,,,"24.72246,-82.79674,#000000"
24.72431,-82.79098,,,,"24.72431,-82.79098,#000000"
24.56239,-82.94773,,,,"24.56239,-82.94773,#000000"
24.56232,-82.94662,,,,"24.56232,-82.94662,#000000"
24.56501,-82.95475,,,,"24.56501,-82.95475,#000000"
24.56573,-82.95543,,,,"24.56573,-82.95543,#000000"
24.58228,-82.92742,,,,"24.58228,-82.92742,#000000"
24.59417,-82.91268,,,,"24.59417,-82.91268,#000000"
24.59759,-82.86997,,,,"24.59759,-82.86997,#000000"
24.59754,-82.86995,,,,"24.59754,-82.86995,#000000"
24.59842,-82.94645,,,,"24.59842,-82.94645,#000000"
24.59817,-82.91592,,,,"24.59817,-82.91592,#000000"
24.59812,-82.91572,,,,"24.59812,-82.91572,#000000"
