time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-06-08T00:00:00Z,24.64455,-82.92916,11.6,706,Haemulon sp.,grunt species,3,6
2014-06-08T00:00:00Z,24.64455,-82.92916,11.6,706,Haemulon sp.,grunt species,4,21
2014-07-27T00:00:00Z,24.65729,-82.94462,22,706,Haemulon sp.,grunt species,4,8
2014-07-27T00:00:00Z,24.65729,-82.94462,22,706,Haemulon sp.,grunt species,5,26
2014-06-06T00:00:00Z,24.62664,-82.89927,8.4,706,Haemulon sp.,grunt species,6,1
2014-06-03T00:00:00Z,24.6801,-82.9046,8.7,706,Haemulon sp.,grunt species,6,1
2014-07-24T00:00:00Z,24.61436,-82.9446,9.3,706,Haemulon sp.,grunt species,3,7
2014-07-24T00:00:00Z,24.61436,-82.9446,9.3,706,Haemulon sp.,grunt species,4,15
2014-07-24T00:00:00Z,24.61436,-82.9446,9.3,706,Haemulon sp.,grunt species,4,7
2014-07-24T00:00:00Z,24.61436,-82.94452,10,706,Haemulon sp.,grunt species,2,6
2014-07-24T00:00:00Z,24.61544,-82.94132,8.4,706,Haemulon sp.,grunt species,2,23
2014-07-24T00:00:00Z,24.61544,-82.94132,8.4,706,Haemulon sp.,grunt species,3,74
2014-07-24T00:00:00Z,24.61547,-82.94124,9.8,706,Haemulon sp.,grunt species,2,12
2014-07-24T00:00:00Z,24.61547,-82.94124,9.8,706,Haemulon sp.,grunt species,3,25
2014-07-24T00:00:00Z,24.61547,-82.94124,9.8,706,Haemulon sp.,grunt species,4,12
2014-07-21T00:00:00Z,24.60119,-82.95716,12.5,706,Haemulon sp.,grunt species,2,7
2014-07-21T00:00:00Z,24.60119,-82.95716,12.5,706,Haemulon sp.,grunt species,2,2
2014-07-20T00:00:00Z,24.63858,-82.85073,17.4,706,Haemulon sp.,grunt species,3,3
2014-07-20T00:00:00Z,24.63867,-82.85059,17.1,706,Haemulon sp.,grunt species,3,1
2014-07-20T00:00:00Z,24.63867,-82.85059,17.1,706,Haemulon sp.,grunt species,4,6
2014-07-27T00:00:00Z,24.60648,-82.96397,14.7,706,Haemulon sp.,grunt species,3,8
2014-07-27T00:00:00Z,24.60648,-82.96397,14.7,706,Haemulon sp.,grunt species,4,17
2014-07-27T00:00:00Z,24.60648,-82.96397,14.7,706,Haemulon sp.,grunt species,4,8
2014-06-06T00:00:00Z,24.62318,-82.90158,6.9,706,Haemulon sp.,grunt species,6,2
2014-07-27T00:00:00Z,24.62576,-82.96111,20.1,706,Haemulon sp.,grunt species,3,2
2014-07-27T00:00:00Z,24.65537,-82.94277,21.7,706,Haemulon sp.,grunt species,2,17
2014-07-27T00:00:00Z,24.65537,-82.94277,21.7,706,Haemulon sp.,grunt species,2,5
2014-07-22T00:00:00Z,24.64033,-83.10311,28.7,706,Haemulon sp.,grunt species,3,37
2014-07-22T00:00:00Z,24.64033,-83.10311,28.7,706,Haemulon sp.,grunt species,3,12
2014-07-22T00:00:00Z,24.62627,-83.10292,27.6,706,Haemulon sp.,grunt species,3,16
2014-07-22T00:00:00Z,24.62627,-83.10292,27.6,706,Haemulon sp.,grunt species,4,35
2014-07-22T00:00:00Z,24.62627,-83.10292,27.6,706,Haemulon sp.,grunt species,5,16
2014-07-23T00:00:00Z,24.56827,-83.04513,28.2,706,Haemulon sp.,grunt species,10,2
2014-07-23T00:00:00Z,24.60671,-83.06264,22.1,706,Haemulon sp.,grunt species,4,1
2014-07-23T00:00:00Z,24.60671,-83.06264,22.1,706,Haemulon sp.,grunt species,5,5
2014-07-22T00:00:00Z,24.65465,-83.04868,16.7,706,Haemulon sp.,grunt species,3,4
2014-07-22T00:00:00Z,24.65472,-83.04856,16,706,Haemulon sp.,grunt species,2,1
2014-07-22T00:00:00Z,24.65613,-83.07165,17.3,706,Haemulon sp.,grunt species,3,2
2014-07-22T00:00:00Z,24.65613,-83.07165,17.3,706,Haemulon sp.,grunt species,4,6
2014-07-22T00:00:00Z,24.65613,-83.07165,17.3,706,Haemulon sp.,grunt species,5,2
2014-06-05T00:00:00Z,24.6811,-83.03372,20.6,706,Haemulon sp.,grunt species,4,33
2014-06-05T00:00:00Z,24.6811,-83.03372,20.6,706,Haemulon sp.,grunt species,4,10
2014-07-22T00:00:00Z,24.65455,-83.04322,17.4,706,Haemulon sp.,grunt species,3,4
2014-07-22T00:00:00Z,24.65455,-83.04322,17.4,706,Haemulon sp.,grunt species,4,10
2014-07-22T00:00:00Z,24.65455,-83.04322,17.4,706,Haemulon sp.,grunt species,5,4
2014-07-22T00:00:00Z,24.65461,-83.04329,17.3,706,Haemulon sp.,grunt species,3,20
2014-07-22T00:00:00Z,24.65461,-83.04329,17.3,706,Haemulon sp.,grunt species,3,6
2014-07-22T00:00:00Z,24.65801,-83.04327,18,706,Haemulon sp.,grunt species,2,2
2014-07-22T00:00:00Z,24.65801,-83.04327,18,706,Haemulon sp.,grunt species,3,7
2014-07-22T00:00:00Z,24.65258,-83.05389,17.7,706,Haemulon sp.,grunt species,3,1
2014-07-22T00:00:00Z,24.65258,-83.05389,17.7,706,Haemulon sp.,grunt species,3,35
2014-07-22T00:00:00Z,24.65258,-83.05389,17.7,706,Haemulon sp.,grunt species,4,73
2014-07-22T00:00:00Z,24.65258,-83.05389,17.7,706,Haemulon sp.,grunt species,4,35
2014-07-22T00:00:00Z,24.65258,-83.05389,17.7,706,Haemulon sp.,grunt species,5,1
2014-06-05T00:00:00Z,24.70028,-83.00645,27.4,706,Haemulon sp.,grunt species,2,2
